MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
367612240,2017-12-12T00:00:04,31.24787,-91.95871,0.0,277.0,511.0,NICHOLAS,,WDH3914,1025,15,19.66,,,
339624000,2017-12-12T00:00:03,25.75992,-80.14642,4.4,310.1,310.0,SKYLER,IMO9831725,6YTF7,,0,,,,
367504990,2017-12-12T00:00:03,29.90591,-90.11893,0.0,285.4,288.0,DAVE ANDERSON,,WDF9422,1025,8,26.15,9.8,,
366925650,2017-12-12T00:00:05,32.81383,-117.34328,7.6,164.7,511.0,MAIREAD,,WDB6509,1019,,14.36,4.5,,
367739850,2017-12-12T00:00:03,40.73582,-73.97436,0.2,275.9,511.0,CAPITOL PRINCESS,,WDI8561,1012,7,18.9,6.7,,
366961420,2017-12-12T00:00:05,31.00996,-91.62613,0.0,337.5,248.0,JOHN M DONNELLY,,WDB8603,1025,0,56.54,15.2,,
367437150,2017-12-12T00:00:05,27.87201,-97.04458,0.0,157.4,196.0,SCOTT CAMP,,WDF3203,1025,0,26.15,9.8,,
367123550,2017-12-12T00:00:04,28.86135,-91.48275,10.7,73.3,511.0,BRIANA MARIE,IMO8988442,WDJ3840,1010,0,38.58,9.75,,
367476850,2017-12-12T00:00:05,37.90465,-76.12369,6.7,20.0,511.0,CAPT DALE,,WDF6689,1025,,15.54,6.1,,
538005602,2017-12-12T00:00:06,27.16851,-92.78447,11.8,193.6,192.0,SEA PEGASUS,IMO9598220,V7FJ2,1004,0,229,32.26,14.4,70
367665360,2017-12-12T00:00:06,35.07932,-90.13049,0.0,360.0,511.0,BETSY ROSS,,WDH9172,1025,15,17.25,,,
367406770,2017-12-12T00:00:05,29.95165,-90.02203,18.0,283.8,511.0,MARVIN G,,WDE8540,1012,0,14.33,5.2,,
367017440,2017-12-12T00:00:07,33.77082,-118.21212,0.0,319.2,511.0,PIPER INNESS,IMO8964109,WDC3984,1010,0,42.7,8.8,,
367177370,2017-12-12T00:00:05,40.72418,-73.96923,7.5,14.1,8.0,SARAH D,IMO7400510,WDI9093,1025,0,28.94,9.07,,
366553750,2017-12-12T00:00:05,29.92003,-90.07687,0.0,0.0,511.0,GEN ROY S KELLEY,IMO9077927,WCD4702,1018,15,28.96,7.9,,
367673340,2017-12-12T00:00:08,29.95390,-92.86405,3.8,66.7,511.0,J THOMAS,,WDH9961,1025,12,21.06,,,
367515090,2017-12-12T00:00:07,39.21165,-76.58143,0.0,231.7,511.0,GEORGETOWN,,WDG2383,1025,0,23.77,7.7,,
367004610,2017-12-12T00:00:06,30.11603,-91.02397,6.3,102.7,102.0,CAPT WHITEY,,WDC3246,1025,15,25.02,9.4,,
367162190,2017-12-12T00:00:08,57.78669,-152.41489,0.0,270.3,511.0,CHELLISSA,IMO8672885,WDD5693,1001,0,26.15,9.9,,
367797720,2017-12-12T00:00:07,28.60392,-80.48353,8.3,330.5,328.0,DAISY MAE,,WDJ6432,,0,,,,
367015670,2017-12-12T00:00:08,41.61394,-71.40783,0.0,282.2,511.0,RAINBOW,IMO8987345,WDC3878,1025,0,26.64,9.75,,52
367638110,2017-12-12T00:00:08,31.29721,-91.51377,6.7,191.0,194.0,RAYMOND GRANT ECKSTE,,WDH6452,1025,9,48.01,13.7,,
366933680,2017-12-12T00:00:07,29.24904,-95.00583,7.2,220.9,219.0,CHARLES W CLARK,IMO8635514,WCP7548,1025,15,19.81,7.9,,
367590790,2017-12-12T00:00:00,35.19027,-90.05938,0.0,359.8,0.0,THERESA ECHOLS,,WDG9747,1025,12,30.48,,,
368488000,2017-12-12T00:00:00,57.77685,-152.41286,0.0,0.0,35.0,MELANIE,IMO8855061,WBR9969,1001,0,23.29,8.53,,
366984980,2017-12-12T00:00:00,40.64389,-89.61343,0.0,191.0,31.0,SIERRA DAWN,,WDB9913,1025,12,46.18,12.2,,
367741540,2017-12-12T00:00:02,56.80937,-132.96410,0.0,285.2,511.0,MARATHON,,WDI8728,1001,,15.3,6,,
338227000,2017-12-12T00:00:00,30.41094,-81.59693,0.0,325.5,248.0,OHIO,IMO9704776,WOHN,1024,0,183,32.2,,
367500230,2017-12-12T00:00:00,29.24051,-90.20893,0.0,266.7,511.0,MICHELLE,IMO9626338,WDF8945,1005,15,35.05,22.6,,
316004370,2017-12-12T00:00:01,41.84317,-82.33333,13.2,70.0,71.0,G3 MARQUIS,IMO9613941,XJBO,1004,0,225.55,23.81,,
367627470,2017-12-12T00:00:01,30.19551,-91.01975,0.0,281.7,511.0,RODNEY E SETTOON,,WDH5388,1025,0,15.24,,,
367350360,2017-12-12T00:00:02,41.89112,-87.60195,0.0,280.8,511.0,MYSTIC BLUE,,WCY3193,1012,0,42.34,11,,
367614860,2017-12-12T00:00:01,29.93796,-90.32592,0.0,237.1,261.0,SHERIDAN A,,WDH9115,1025,12,26.52,,,
367599280,2017-12-12T00:00:03,29.41433,-90.28116,0.0,360.0,511.0,CAPT WINNIE,,WDH2601,1001,15,20.73,,,
367402650,2017-12-12T00:00:03,39.09866,-81.74462,3.8,197.0,203.0,NANCY STURGIS,,WDE8196,1025,15,28.5,7.9,,31
367600830,2017-12-12T00:00:03,32.72315,-117.22684,0.0,360.0,511.0,LEGEND,,WDH2751,1012,0,21.76,6.8,,
366986690,2017-12-12T00:00:03,29.79741,-95.06789,0.0,303.7,511.0,TYLER T,,WCW9508,1025,12,14.02,5.5,,
215724000,2017-12-12T00:00:03,29.91165,-90.11232,0.0,15.0,271.0,VERMONT TRADER,IMO9292149,9HYN7,1004,0,294.1,32.2,,
367534680,2017-12-12T00:00:02,29.79025,-95.07815,0.1,236.1,13.0,CAPT NILES SHOEMAKER,,WDG4261,1025,0,25.76,,,
367791550,2017-12-12T00:00:04,40.74441,-73.97034,0.0,249.0,208.0,FLYER,,WDJ5814,1012,15,24.51,,,
316011409,2017-12-12T00:00:03,48.79498,-123.34144,21.1,183.0,183.0,COASTAL CELEBRATION,IMO9332779,CFN5145,1012,0,160,28.2,5.8,69
366980890,2017-12-12T00:00:04,46.75363,-92.09419,0.0,0.0,511.0,ARKANSAS,,WH8588,1025,15,22.8,6.1,,
367407750,2017-12-12T00:00:02,30.19588,-91.02362,8.0,145.7,148.0,GENIE,,WDF8288,1025,12,29.05,9.1,,
367428840,2017-12-12T00:00:07,55.34611,-131.66157,0.0,317.5,511.0,ETHAN B,IMO8851508,WDF2505,1025,15,19.14,7.83,,
265562190,2017-12-12T00:00:05,37.55150,-76.32998,0.0,0.0,511.0,SEAQWEST,,SFC5680,1019,,10.76,,,
367367390,2017-12-12T00:00:05,36.80433,-76.29081,0.3,84.4,181.0,DIAMOND COAST,,WBY3781,1025,0,25.6,9.1,,
338595000,2017-12-12T00:00:05,29.56374,-90.38839,0.0,301.6,32.0,ODYSSEA COUNT,IMO9264647,WDG8778,1010,0,63.09,16.15,,
255805961,2017-12-12T00:00:07,32.08508,-81.09529,6.3,129.8,511.0,MSC ALESSIA,IMO9225653,CQIH5,1004,0,300.01,40,,
367742990,2017-12-12T00:00:07,33.79326,-91.03527,0.0,292.7,511.0,TERRENE,,WDI8873,1025,15,,,,
367629990,2017-12-12T00:00:07,43.34604,-124.32309,0.0,176.2,511.0,APACHE,,WDH5646,1001,,11.73,,,
367631360,2017-12-12T00:00:07,33.61061,-117.90140,0.0,310.3,511.0,PRINCE OF TIDES,,WDH5775,1019,,21.12,,,
367505050,2017-12-12T00:00:07,29.98178,-90.39509,0.0,246.7,330.0,JAMES DAVISON,,WDF9427,1025,15,26.15,9.8,,
367682990,2017-12-12T00:00:07,30.34570,-91.19895,6.6,249.8,244.0,RENA MARIE,,WDI2909,1025,5,26.55,,,
367148710,2017-12-12T00:00:09,39.94150,-75.14045,0.0,195.0,511.0,SPIRITOFPHILADELPHIA,,WDD4763,1012,0,47.76,10.7,,
367007330,2017-12-12T00:00:07,47.62640,-122.27258,8.1,184.0,511.0,MISS NATALIE,,WDC3400,1025,0,14.05,4.2,,
367706270,2017-12-12T00:00:09,39.21235,-76.54117,0.0,279.4,511.0,MS JANET,IMO8852710,WDI5213,1025,0,28.8,8.63,,
367421740,2017-12-12T00:00:09,37.04880,-88.42602,0.0,325.8,73.0,BROOKE MCKENZIE,,WDE9826,1025,0,40.29,10.4,,31
367306570,2017-12-12T00:00:11,29.77088,-91.78283,4.6,128.9,123.0,ZELAND M DELOACH JR,,WDD9083,1025,15,23.16,9.1,,
367060490,2017-12-12T00:00:00,33.99063,-88.51268,0.3,276.4,511.0,BRIAN RAFFERTY,,WDC6732,1025,0,41.85,11.6,,
367678140,2017-12-12T00:00:00,29.94050,-92.90649,5.4,69.3,511.0,REX DOBSON,,WDI2437,1025,0,22.86,,,
367689620,2017-12-12T00:00:02,27.60317,-82.84033,0.8,126.6,81.0,MANATEE,,WDI3562,,0,16.15,,,
